name,place,osm_type,Latitude,Longitude,
,hamlet,nodes,20.03847190000,-77.13403010000,12/16/2016
Caballer?¡a,hamlet,nodes,20.60291520000,-75.97240020000,12/16/2016
Toribio,hamlet,nodes,20.58547110000,-75.94371160000,12/16/2016
La Curva,hamlet,nodes,20.66402650000,-75.93548230000,12/16/2016
Candelaria Moro,hamlet,nodes,21.06579620000,-76.24761680000,12/16/2016
Cane,hamlet,nodes,20.40752890000,-74.54641130000,12/16/2016
Juncal,hamlet,nodes,20.37527250000,-74.58647050000,12/16/2016
Naranjal,hamlet,nodes,20.38509380000,-74.56333310000,12/16/2016
El Pino,hamlet,nodes,20.37716740000,-74.53540270000,12/16/2016
Paso de Toa,hamlet,nodes,20.39622500000,-74.54621220000,12/16/2016
La Rencontra,hamlet,nodes,20.36922380000,-74.54793760000,12/16/2016
Tres Veredas,hamlet,nodes,20.31830410000,-74.54731390000,12/16/2016
Las Delicias,hamlet,nodes,20.33102530000,-74.56510380000,12/16/2016
Veguitas,hamlet,nodes,20.35267320000,-74.61770530000,12/16/2016
Los Cacaos,hamlet,nodes,20.36571500000,-74.56549290000,12/16/2016
Bernardo de Tabaj??,hamlet,nodes,20.36527610000,-74.60317890000,12/16/2016
Arroyo Blanco,hamlet,nodes,20.35127330000,-74.63757730000,12/16/2016
,hamlet,nodes,20.34610090000,-74.64272050000,12/16/2016
,hamlet,nodes,20.34411960000,-74.65052750000,12/16/2016
Quibij?ín,hamlet,nodes,20.34397490000,-74.65956900000,12/16/2016
,hamlet,nodes,20.20731070000,-74.72392990000,12/16/2016
,hamlet,nodes,20.19838710000,-74.65312660000,12/16/2016
Mata Abajo,hamlet,nodes,20.00468850000,-75.22522820000,12/16/2016
Vega Grande,hamlet,nodes,20.17507320000,-74.97196600000,12/16/2016
El Acano,hamlet,nodes,20.24821500000,-74.90285160000,12/16/2016
,hamlet,nodes,20.27220490000,-74.95419080000,12/16/2016
,hamlet,nodes,20.28210940000,-74.89510680000,12/16/2016
Manantuaba,hamlet,nodes,20.25512860000,-74.79477210000,12/16/2016
Tribil?¡n,hamlet,nodes,20.30305360000,-74.85306680000,12/16/2016
Frijoles,hamlet,nodes,20.34174840000,-74.84159360000,12/16/2016
Los Llanos,hamlet,nodes,20.36037650000,-74.81085500000,12/16/2016
Entronque de Arroyo del Medio,hamlet,nodes,20.35090310000,-74.93229460000,12/16/2016
,hamlet,nodes,20.31769030000,-74.88075510000,12/16/2016
La Alegr?¡a,hamlet,nodes,20.31771720000,-74.88149080000,12/16/2016
Arenal,hamlet,nodes,20.31999470000,-74.89298420000,12/16/2016
,hamlet,nodes,20.32606580000,-74.90660620000,12/16/2016
Arroyo Bueno,hamlet,nodes,20.32600950000,-74.90804310000,12/16/2016
,hamlet,nodes,20.34087450000,-74.91823630000,12/16/2016
Entronque de El Cilindro,hamlet,nodes,20.33649640000,-74.92944420000,12/16/2016
Palenquito Hill,hamlet,nodes,20.36124830000,-74.95262040000,12/16/2016
Entronque de Cuevita y Dagamal,hamlet,nodes,20.36526410000,-74.95183170000,12/16/2016
Madre Vieja,hamlet,nodes,20.36864620000,-74.95864200000,12/16/2016
La Calabazas,hamlet,nodes,20.26760860000,-74.73530860000,12/16/2016
La Escondida,hamlet,nodes,20.26196520000,-74.93820330000,12/16/2016
La Rancher?¡a,hamlet,nodes,20.27023050000,-74.91599000000,12/16/2016
Subsector,hamlet,nodes,20.26652170000,-74.82043730000,12/16/2016
Vega del Toro,hamlet,nodes,20.28841170000,-74.83212660000,12/16/2016
Entronque de Dos Pasos,hamlet,nodes,20.34403320000,-74.92401720000,12/16/2016
La Vega de Taco,hamlet,nodes,20.51238510000,-74.67858980000,12/16/2016
Miramar,hamlet,nodes,20.52655050000,-74.68818470000,12/16/2016
Santa Mar?¡a,hamlet,nodes,20.52694280000,-74.70143040000,12/16/2016
Jaragua,hamlet,nodes,20.53651220000,-74.70343070000,12/16/2016
Pilones,hamlet,nodes,20.12002230000,-74.85545080000,12/16/2016
Segundo Frente,hamlet,nodes,20.11314540000,-74.80745650000,12/16/2016
Mariana,hamlet,nodes,20.12328160000,-74.80095520000,12/16/2016
,hamlet,nodes,20.12400270000,-74.58500430000,12/16/2016
El Guajacal,hamlet,nodes,20.08992140000,-74.64036230000,12/16/2016
,hamlet,nodes,20.13461070000,-74.67996830000,12/16/2016
,hamlet,nodes,20.14003330000,-74.59577520000,12/16/2016
