place,osm_type,Latitude,Longitude,
hamlet,nodes,20.0384719,-77.1340301,12/16/2016
hamlet,nodes,20.6029152,-75.9724002,12/16/2016
hamlet,nodes,20.5854711,-75.9437116,12/16/2016
hamlet,nodes,20.6640265,-75.9354823,12/16/2016
hamlet,nodes,21.0657962,-76.2476168,12/16/2016
hamlet,nodes,20.4075289,-74.5464113,12/16/2016
hamlet,nodes,20.3752725,-74.5864705,12/16/2016
hamlet,nodes,20.3850938,-74.5633331,12/16/2016
hamlet,nodes,20.3771674,-74.5354027,12/16/2016
hamlet,nodes,20.396225,-74.5462122,12/16/2016
hamlet,nodes,20.3692238,-74.5479376,12/16/2016
hamlet,nodes,20.3183041,-74.5473139,12/16/2016
hamlet,nodes,20.3310253,-74.5651038,12/16/2016
hamlet,nodes,20.3526732,-74.6177053,12/16/2016
hamlet,nodes,20.365715,-74.5654929,12/16/2016
hamlet,nodes,20.3652761,-74.6031789,12/16/2016
hamlet,nodes,20.3512733,-74.6375773,12/16/2016
hamlet,nodes,20.3461009,-74.6427205,12/16/2016
hamlet,nodes,20.3441196,-74.6505275,12/16/2016
hamlet,nodes,20.3439749,-74.659569,12/16/2016
hamlet,nodes,20.2073107,-74.7239299,12/16/2016
hamlet,nodes,20.1983871,-74.6531266,12/16/2016
hamlet,nodes,20.0046885,-75.2252282,12/16/2016
hamlet,nodes,20.1750732,-74.971966,12/16/2016
hamlet,nodes,20.248215,-74.9028516,12/16/2016
hamlet,nodes,20.2722049,-74.9541908,12/16/2016
hamlet,nodes,20.2821094,-74.8951068,12/16/2016
hamlet,nodes,20.2551286,-74.7947721,12/16/2016
hamlet,nodes,20.3030536,-74.8530668,12/16/2016
hamlet,nodes,20.3417484,-74.8415936,12/16/2016
hamlet,nodes,20.3603765,-74.810855,12/16/2016
hamlet,nodes,20.3509031,-74.9322946,12/16/2016
hamlet,nodes,20.3176903,-74.8807551,12/16/2016
hamlet,nodes,20.3177172,-74.8814908,12/16/2016
hamlet,nodes,20.3199947,-74.8929842,12/16/2016
hamlet,nodes,20.3260658,-74.9066062,12/16/2016
hamlet,nodes,20.3260095,-74.9080431,12/16/2016
hamlet,nodes,20.3408745,-74.9182363,12/16/2016
hamlet,nodes,20.3364964,-74.9294442,12/16/2016
hamlet,nodes,20.3612483,-74.9526204,12/16/2016
hamlet,nodes,20.3652641,-74.9518317,12/16/2016
hamlet,nodes,20.3686462,-74.958642,12/16/2016
hamlet,nodes,20.2676086,-74.7353086,12/16/2016
hamlet,nodes,20.2619652,-74.9382033,12/16/2016
hamlet,nodes,20.2702305,-74.91599,12/16/2016
hamlet,nodes,20.2665217,-74.8204373,12/16/2016
hamlet,nodes,20.2884117,-74.8321266,12/16/2016
hamlet,nodes,20.3440332,-74.9240172,12/16/2016
hamlet,nodes,20.5123851,-74.6785898,12/16/2016
hamlet,nodes,20.5265505,-74.6881847,12/16/2016
hamlet,nodes,20.5269428,-74.7014304,12/16/2016
hamlet,nodes,20.5365122,-74.7034307,12/16/2016
hamlet,nodes,20.1200223,-74.8554508,12/16/2016
hamlet,nodes,20.1131454,-74.8074565,12/16/2016
hamlet,nodes,20.1232816,-74.8009552,12/16/2016
hamlet,nodes,20.1240027,-74.5850043,12/16/2016
hamlet,nodes,20.0899214,-74.6403623,12/16/2016
hamlet,nodes,20.1346107,-74.6799683,12/16/2016
hamlet,nodes,20.1400333,-74.5957752,12/16/2016
hamlet,nodes,20.176004,-74.5533052,12/16/2016
hamlet,nodes,20.221903,-74.8485273,12/16/2016
hamlet,nodes,20.1486039,-74.7743865,12/16/2016
hamlet,nodes,20.1501421,-74.8002957,12/16/2016
hamlet,nodes,20.1308672,-74.8451698,12/16/2016
hamlet,nodes,20.1415271,-74.861542,12/16/2016
hamlet,nodes,20.1574751,-74.8711511,12/16/2016
hamlet,nodes,20.1615258,-74.8494583,12/16/2016
hamlet,nodes,20.1236008,-74.7334125,12/16/2016
hamlet,nodes,20.1261883,-74.7047258,12/16/2016
hamlet,nodes,20.1361947,-74.6804412,12/16/2016
hamlet,nodes,20.1393383,-74.7027329,12/16/2016
hamlet,nodes,20.1403642,-74.6807402,12/16/2016
hamlet,nodes,20.2026368,-74.6159224,12/16/2016
hamlet,nodes,20.2166407,-74.6390917,12/16/2016
hamlet,nodes,20.1907124,-74.6290946,12/16/2016
hamlet,nodes,20.7613315,-75.8070114,12/16/2016
hamlet,nodes,20.7486495,-75.9427786,12/16/2016
